INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,34.783368,-86.568502,0.6538,850
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,33.50223,-86.80917,0.6043,1147
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,32.362609,-86.17401,NULL,NULL
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu,34.722818,-86.63842,0.812,1221
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu,32.364317,-86.295677,0.4639,844
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,33.2144,-87.545766,0.5359,1181
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu,32.924429,-85.94653,NULL,NULL
Athens State University,Athens,AL,35611,www.athens.edu,34.805625,-86.96514,NULL,NULL
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu,32.369939,-86.177351,0.7871,990
Auburn University,Auburn,AL,36849,www.auburn.edu,32.604685,-85.482782,0.7766,1218
Birmingham Southern College,Birmingham,AL,35254,www.bsc.edu/,33.515453,-86.853636,0.5306,1167
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu,32.42391,-85.031485,NULL,NULL
Concordia College Alabama,Selma,AL,36701,www.ccal.edu/,32.42443,-87.023531,0.4034,NULL
South University-Montgomery,Montgomery,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",32.342684,-86.216488,NULL,NULL
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu,31.297496,-85.836956,NULL,NULL
James H Faulkner State Community College,Bay Minette,AL,36507-2698,www.faulknerstate.edu,30.852045,-87.779758,NULL,NULL
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu,32.384181,-86.21641,0.573,985
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu,33.991866,-85.991299,NULL,NULL
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com,34.27871,-86.196931,NULL,NULL
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu,31.316086,-85.46355,NULL,NULL
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu,34.07341,-86.781745,NULL,NULL
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu,32.445611,-87.01324,NULL,NULL
Herzing University-Birmingham,Birmingham,AL,35209,www.herzing.edu/,33.468105,-86.832299,0.9541,NULL
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu,32.350939,-86.285313,0.5769,992
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu,34.859089,-87.662062,0.7,848
J F Drake State Community and Technical College,Huntsville,AL,35811,www.drakestate.edu,34.772116,-86.573817,NULL,NULL
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,33.822128,-85.766644,0.6665,1062
Jefferson Davis Community College,Brewton,AL,36426,www.jdcc.edu,31.101995,-87.085829,NULL,NULL
Jefferson State Community College,Birmingham,AL,35215-3098,www.jeffstateonline.com,33.652439,-86.707387,NULL,NULL
John C Calhoun State Community College,Tanner,AL,35671,www.calhoun.edu,34.65428,-86.949131,NULL,NULL
Judson College,Marion,AL,36756,www.judson.edu,32.630526,-87.316127,0.6292,1031
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,www.lawsonstate.edu,33.451673,-86.890234,NULL,NULL
University of West Alabama,Livingston,AL,35470,www.uwa.edu,32.59244,-88.186077,0.7347,930
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,www.lbwcc.edu,31.322947,-86.452262,NULL,NULL
Marion Military Institute,Marion,AL,36756-3207,www.marionmilitary.edu,32.622359,-87.317998,0.5918,1061
Miles College,Fairfield,AL,35064-2621,www.miles.edu,33.481306,-86.908605,NULL,NULL
University of Mobile,Mobile,AL,36613-2842,www.umobile.edu,30.793247,-88.128934,0.6051,1025
University of Montevallo,Montevallo,AL,35115-6000,www.montevallo.edu,33.10625,-86.865099,0.7001,1069
Northwest-Shoals Community College,Muscle Shoals,AL,35661,www.nwscc.edu,34.739567,-87.67733,NULL,NULL
University of North Alabama,Florence,AL,35632-0001,www.una.edu,34.80658,-87.680999,0.58,1027
Northeast Alabama Community College,Rainsville,AL,35986,www.nacc.edu,34.545471,-85.911664,NULL,NULL
Oakwood University,Huntsville,AL,35896,www.oakwood.edu,34.756628,-86.661628,0.4749,923
Alabama Southern Community College,Monroeville,AL,36460,www.ascc.edu,31.488925,-87.326352,NULL,NULL
Prince Institute-Southeast,Elmhurst,IL,60126,princeinstitute.edu,41.928952,-87.962922,NULL,NULL
Reid State Technical College,Evergreen,AL,36401,www.rstc.edu,31.46071,-86.964486,NULL,NULL
Bishop State Community College,Mobile,AL,36603-5898,www.bishop.edu,30.693972,-88.056982,NULL,NULL
Samford University,Birmingham,AL,35229-2240,www.samford.edu,33.464578,-86.790932,0.933,1162
Selma University,Selma,AL,36701,selmauniversity.edu,32.420358,-87.033826,NULL,NULL
Shelton State Community College,Tuscaloosa,AL,35405-8522,www.sheltonstate.edu,33.120531,-87.56148,NULL,NULL
Snead State Community College,Boaz,AL,35957-0734,www.snead.edu,34.201247,-86.169479,NULL,NULL
University of South Alabama,Mobile,AL,36688-0002,www.southalabama.edu,30.695081,-88.18189,0.7816,1045
Spring Hill College,Mobile,AL,36608-1791,www.shc.edu,30.694751,-88.138199,0.4132,1120
Southeastern Bible College,Birmingham,AL,35244-2083,sebc.edu/,33.378935,-86.749045,1,1045
Stillman College,Tuscaloosa,AL,35401,www.stillman.edu,33.199228,-87.585242,0.5659,831
Talladega College,Talladega,AL,35160,www.talladega.edu,33.434258,-86.113675,NULL,NULL
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,www.trenholmstate.edu,32.350109,-86.343057,NULL,NULL
Troy University,Troy,AL,36082-0001,www.troy.edu,31.800128,-85.950191,0.9187,1046
Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu,32.431021,-85.710315,0.5296,955
United States Sports Academy,Daphne,AL,36526-7055,www.ussa.edu,30.639329,-87.91163,NULL,NULL
Bevill State Community College,Jasper,AL,35501,www.bscc.edu,33.835785,-87.265034,NULL,NULL
University of Alaska Anchorage,Anchorage,AK,99508,www.uaa.alaska.edu,61.189554,-149.826135,0.706,NULL
Alaska Bible College,Palmer,AK,99645,www.akbible.edu/,61.59843,-149.111341,NULL,NULL
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,www.uaf.edu,64.856483,-147.822943,0.731,1058
University of Alaska Southeast,Juneau,AK,99801-8697,www.uas.alaska.edu,58.38427,-134.636346,0.4891,NULL
Alaska Pacific University,Anchorage,AK,99508,www.alaskapacific.edu,61.191235,-149.804242,0.3891,985
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,www.avtec.edu/,60.110727,-149.444573,NULL,NULL
Charter College,Vancouver,WA,98683-7575,www.chartercollege.edu,61.195786,-149.840178,NULL,NULL
Alaska Career College,Anchorage,AK,99507-1033,www.alaskacareercollege.edu,61.181443,-149.856954,NULL,NULL
Empire Beauty School-Tucson,Tucson,AZ,85716,www.empire.edu,32.235657,-110.927187,NULL,NULL
Thunderbird School of Global Management,Glendale,AZ,85306-6000,https://thunderbird.asu.edu/about/,33.620887,-112.180861,NULL,1143
American Indian College Inc,Phoenix,AZ,85021,www.aicag.edu/,33.577738,-112.092247,NULL,NULL
American Institute of Trucking,Phoenix,AZ,85043-4729,www.ait-schools.com,33.442262,-112.175304,NULL,NULL
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,www.carrington.edu,33.560821,-112.115546,0.9837,NULL
Carrington College-Mesa,Mesa,AZ,85210,www.carrington.edu,33.39207,-111.855281,0.9861,NULL
Carrington College-Tucson,Tucson,AZ,85745,www.carrington.edu,32.224,-110.982961,0.9774,NULL
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,www.collegeamerica.edu,35.194607,-111.65739,NULL,NULL
Arizona Academy of Beauty-East,Tucson,AZ,85712,www.arizonaacademy.com,32.237253,-110.872305,NULL,NULL
Arizona Automotive Institute,Glendale,AZ,85301-3579,www.aai.edu,33.537249,-112.157344,NULL,NULL
Brookline College-Phoenix,Phoenix,AZ,85021,www.brooklinecollege.edu,33.525384,-112.15007,NULL,NULL
Arizona State University-Tempe,Tempe,AZ,85287,www.asu.edu/,33.422247,-111.934629,0.8291,1143
Arizona Western College,Yuma,AZ,85365-8834,www.azwestern.edu,32.689306,-114.495968,NULL,NULL
University of Arizona,Tucson,AZ,85721-0066,www.arizona.edu,32.232071,-110.950769,0.7643,NULL
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,www.suva.edu,32.252384,-110.927321,NULL,NULL
Central Arizona College,Coolidge,AZ,85128-9030,www.centralaz.edu,32.957092,-111.652501,NULL,NULL
Brown Mackie College-Tucson,Tucson,AZ,85712,www.brownmackie.edu,32.236736,-110.895086,NULL,NULL
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,www.charlesofitaly.edu,34.475275,-114.328134,NULL,NULL
Cochise County Community College District,Douglas,AZ,85607-6190,www.cochise.edu,31.365757,-109.690422,NULL,NULL
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,www.empire.edu,35.197151,-111.625936,NULL,NULL
Empire Beauty School-Chandler,Chandler,AZ,85224,www.empire.edu,33.347586,-111.860423,NULL,NULL
Cortiva Institute-Tucson,Tucson,AZ,85710,www.cortiva.com/,32.21901,-110.856785,NULL,NULL
Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,avalon.edu/locations/mesa-az/,33.376583,-111.858305,NULL,NULL
Eastern Arizona College,Thatcher,AZ,85552-0769,www.eac.edu,32.840719,-109.761664,NULL,NULL
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,prescott.erau.edu/,34.615678,-112.452285,0.7914,NULL
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,85259,www.taliesin.edu,33.60715,-111.846477,NULL,NULL
Glendale Community College,Glendale,AZ,85302,www.gccaz.edu,33.567483,-112.188334,NULL,NULL
Grand Canyon University,Phoenix,AZ,85017,www.gcu.edu,33.512172,-112.129917,0.432,NULL
International Academy of Hair Design,Tempe,AZ,85282-6730,www.internationalacademyofhairdesign.com,33.38145,-111.940071,NULL,NULL
GateWay Community College,Phoenix,AZ,85034,www.gatewaycc.edu,33.4495,-111.996527,NULL,NULL
Mesa Community College,Mesa,AZ,85202,www.mesacc.edu,33.391256,-111.871494,NULL,NULL
ITT Technical Institute-Tucson,Tucson,AZ,85704-5829,www.itt-tech.edu,32.297261,-110.997501,0.927,NULL
ITT Technical Institute-Tempe,Tempe,AZ,85282,www.itt-tech.edu,33.380355,-111.969169,0.9539,NULL
Mohave Community College,Kingman,AZ,86409-1238,www.mohave.edu,35.270737,-114.030244,NULL,NULL
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,www.uti.edu/,33.684428,-112.121336,NULL,NULL
Dine College,Tsaile,AZ,86556,www.dinecollege.edu,36.293328,-109.21684,NULL,NULL
Northern Arizona University,Flagstaff,AZ,86011-4092,nau.edu/,35.180095,-111.657653,0.7706,NULL
Northland Pioneer College,Holbrook,AZ,86025-0610,www.npc.edu,34.922221,-110.1316,NULL,NULL
Ottawa University-Phoenix,Phoenix,AZ,85021,www.ottawa.edu,33.57172,-112.113301,NULL,NULL
Phoenix College,Phoenix,AZ,85013,www.phoenixcollege.edu,33.481361,-112.088293,NULL,NULL
Cortiva Institute-Scottsdale,Scottsdale,AZ,85257,www.cortiva.com/,33.466554,-111.908433,NULL,NULL
Pima Community College,Tucson,AZ,85709-1275,www.pima.edu,32.221737,-110.887033,NULL,NULL
Pima Medical Institute-Tucson,Tucson,AZ,85716,pmi.edu,32.250448,-110.921306,NULL,NULL
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,pmi.edu,35.10488,-106.594381,NULL,NULL
Prescott College,Prescott,AZ,86301,www.prescott.edu,34.5445,-112.476509,0.7043,1039
Refrigeration School Inc,Phoenix,AZ,85034-1816,www.refrigerationschool.com,33.448692,-111.989357,NULL,NULL
Rio Salado College,Tempe,AZ,85281,www.rio.maricopa.edu,33.413138,-111.975201,NULL,NULL
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,www.roberto-venn.com,33.45489,-112.086161,NULL,NULL
Hair Academy of Safford,Safford,AZ,85546,hairacademysafford.com,32.835302,-109.727696,NULL,NULL
Scottsdale Community College,Scottsdale,AZ,85256,www.scottsdalecc.edu,33.509489,-111.887298,NULL,NULL
South Mountain Community College,Phoenix,AZ,85042,www.southmountaincc.edu,33.381001,-112.057515,NULL,NULL
Arizona Christian University,Phoenix,AZ,85032-7097,www.arizonachristian.edu,33.595117,-112.026211,0.5123,997
Tucson College,Tucson,AZ,85711,www.tucsoncollege.edu,32.22205,-110.883181,NULL,NULL
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,www.uti.edu,33.453533,-112.289693,NULL,NULL
Western International University,Tempe,AZ,85282,www.west.edu,33.403625,-111.964182,NULL,NULL
Empire Beauty School-NW Phoenix,Phoenix,AZ,85051,www.empire.edu,33.538093,-112.118168,NULL,NULL
Yavapai College,Prescott,AZ,86301,www.YC.EDU,34.547512,-112.454156,NULL,NULL
University of Arkansas at Little Rock,Little Rock,AR,72204,ualr.edu/www/,34.726644,-92.341835,0.8983,990
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,www.uams.edu,34.749718,-92.320945,NULL,NULL
ABC Beauty College Inc,Arkadelphia,AR,71923,www.abc-beautycollege.com,34.12018,-93.080831,NULL,NULL
Arkansas Baptist College,Little Rock,AR,72202-6068,www.arkansasbaptist.edu,34.734751,-92.290555,NULL,NULL
Arkansas Beauty School-Little Rock,Little Rock,AR,72209,arkbeautyschool.com,34.669071,-92.334814,NULL,NULL
Arkansas Beauty College,Russellville,AR,72801,www.arkansasbeautycollegersvlar.com/,35.278622,-93.13522,NULL,NULL
Lyon College,Batesville,AR,72501,www.lyon.edu,35.778934,-91.628115,0.5912,1120
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,www.arkansascollegeofbarbering.com,34.753621,-92.266336,NULL,NULL
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-3342,www.arthursbeautycollege.com,35.379955,-94.410967,NULL,NULL
University of Arkansas,Fayetteville,AR,72701,www.uark.edu,36.06153,-94.178214,0.6006,1154
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,www.uapb.edu,34.242192,-92.021263,0.4616,871
Arkansas State University-Beebe,Beebe,AR,72012-1000,www.asub.edu,35.074512,-91.896165,NULL,NULL
Arkansas State University-Main Campus,Jonesboro,AR,72401,www.astate.edu/edu,35.842779,-90.680478,0.7024,1088
Arkansas Tech University,Russellville,AR,72801-2222,www.atu.edu,35.295227,-93.13233,0.8911,NULL
University of Arkansas at Monticello,Monticello,AR,71656,www.uamont.edu/,33.589788,-91.812971,NULL,NULL
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076,arthursbeautycollege.com,34.8918,-92.102284,NULL,NULL
Baptist Health College-Little Rock,Little Rock,AR,72210-2820,https://www.bhclr.edu,34.713115,-92.40692,0.3235,1050
Black River Technical College,Pocahontas,AR,72455,www.blackrivertech.edu,36.239793,-90.951033,NULL,NULL
University of Central Arkansas,Conway,AR,72035-0001,www.uca.edu,35.078196,-92.45931,0.9218,1068
Central Baptist College,Conway,AR,72034,www.cbc.edu,35.084574,-92.444102,0.4749,968
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,www.cccua.edu/,34.043389,-94.3673,NULL,NULL
Crowley's Ridge College,Paragould,AR,72450,www.crc.edu/,36.066239,-90.58482,NULL,NULL
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,www.crti.tec.ar.us,35.041908,-90.767807,NULL,NULL
East Arkansas Community College,Forrest City,AR,72335-2204,https://WWW.EACC.EDU,35.039673,-90.767445,NULL,NULL
Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,www.easterncollege.edu,34.75126,-92.341981,NULL,NULL
Imagine-Paul Mitchell Partner School,North Little Rock,AR,72117,paulmitchell.edu/littlerock,34.791306,-92.221304,NULL,NULL
National Park College,Hot Springs,AR,71913,www.np.edu,34.512731,-93.117111,NULL,NULL
University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,www.uaccb.edu,35.79293,-91.616123,NULL,NULL
Harding University,Searcy,AR,72149-5615,www.harding.edu,35.249605,-91.729008,0.992,1135
Henderson State University,Arkadelphia,AR,71999-0001,www.hsu.edu,34.127792,-93.060313,0.6334,988
Hendrix College,Conway,AR,72032-3080,www.hendrix.edu,35.09972,-92.442021,0.8238,1270
Hot Springs Beauty College,Hot Springs,AR,71901,hotspringsbeautycollege.com,34.496287,-93.038381,NULL,NULL
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,www.jrmc.org,34.187831,-92.018045,NULL,NULL
John Brown University,Siloam Springs,AR,72761,www.jbu.edu,36.191077,-94.559088,0.7376,1209
Lees School of Cosmetology,North  Little Rock,AR,72114-3800,www.leesschool.com,34.781993,-92.296729,NULL,NULL
Career Academy of Hair Design,Springdale,AR,72764-7128,www.beautynwa.com,36.16757,-94.131834,NULL,NULL
Academy of Salon and Spa,Fort Smith,AR,72901,www.academysalonspa.com,35.380891,-94.416327,NULL,NULL
Arkansas State University Mid-South,West Memphis,AR,72301-3829,www.asumidsouth.edu,35.145736,-90.22285,NULL,NULL
Arkansas Northeastern College,Blytheville,AR,72316-1109,www.anc.edu,35.897362,-89.922491,NULL,NULL
Margaret's Hair Academy Inc,Monticello,AR,71655,margarethairacademy.com,33.629169,-91.7887,NULL,NULL
New Tyler Barber College Inc,North Little Rock,AR,72114-4973,newtylerbarbercollege.edu,34.759076,-92.254108,NULL,NULL
North Arkansas College,Harrison,AR,72601-5508,www.northark.edu,36.220528,-93.087317,NULL,NULL
Northwest Technical Institute,Springdale,AR,72764,www.nwti.edu,36.178617,-94.116433,NULL,NULL
Ouachita Baptist University,Arkadelphia,AR,71998-0001,www.obu.edu,34.125045,-93.052442,0.6845,1120
College of the Ouachitas,Malvern,AR,72104-0816,www.coto.edu,34.378745,-92.821416,NULL,NULL
Ozarka College,Melbourne,AR,72556-0010,www.ozarka.edu,36.053031,-91.896355,NULL,NULL
University of the Ozarks,Clarksville,AR,72830,https://www.ozarks.edu,35.477785,-93.467924,0.9677,1034
University of Arkansas Community College-Morrilton,Morrilton,AR,72110,www.uaccm.edu,35.172136,-92.728507,0.6647,930
Philander Smith College,Little Rock,AR,72202-3799,www.philander.edu,34.73666,-92.28242,NULL,NULL
Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,www.pccua.edu,34.544976,-90.617745,NULL,NULL
Southeast Arkansas College,Pine Bluff,AR,71603,www.seark.edu,34.209797,-92.024731,NULL,NULL
Professional Cosmetology Education Center,El Dorado,AR,71730-4009,www.pcec.edu,33.215124,-92.663131,NULL,NULL
Pulaski Technical College,North Little Rock,AR,72118-3347,www.pulaskitech.edu,34.78243,-92.299729,NULL,NULL
University of Arkansas Community College-Hope,Hope,AR,71801,www.uacch.edu,33.64791,-93.584528,NULL,NULL
Rich Mountain Community College,Mena,AR,71953,www.rmcc.edu,34.590793,-94.2197,NULL,NULL
Paul Mitchell the School-Arkansas,Fayetteville,AR,72703,www.pmtsarkansas.com,36.12681,-94.154191,NULL,NULL
Searcy Beauty College,Searcy,AR,72143,searcybeautycollege.com/,35.237723,-91.73454,NULL,NULL
Shorter College,N Little Rock,AR,72114,www.shortercollege.edu,34.75933,-92.261331,NULL,NULL
Williams Baptist College,Walnut Ridge,AR,72476,www.wbcoll.edu,36.126825,-90.939876,0.6375,1010
South Arkansas Community College,El Dorado,AR,71731-7010,www.southark.edu,33.209446,-92.666087,NULL,NULL
Southern Arkansas University Main Campus,Magnolia,AR,71753,https://www.saumag.edu,33.291195,-93.235087,0.6748,988
Southern Arkansas University Tech,Camden,AR,71701-1906,www.sautech.edu,33.63037,-92.719498,NULL,NULL
Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,www.velvatexcollege.com,34.735724,-92.289758,NULL,NULL
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,uafs.edu/,35.385345,-94.374073,0.5581,NULL
Academy of Art University,San Francisco,CA,94105,www.academyart.edu,37.787748,-122.400686,NULL,NULL
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,95670-6034,www.itt-tech.edu,38.59172,-121.281506,0.9317,NULL
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,www.acchs.edu,37.806662,-122.272733,NULL,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647,WWW.ARBRADIO.COM,33.728895,-117.987666,NULL,NULL
Avalon School of Cosmetology-Alameda,Alameda,CA,94501,avalon.edu/locations/alameda-ca/,37.764203,-122.243566,NULL,NULL
College of Alameda,Alameda,CA,94501,www.peralta.edu,37.78239,-122.279261,NULL,NULL
Allan Hancock College,Santa Maria,CA,93454-6399,www.hancockcollege.edu/,34.942979,-120.421486,NULL,NULL
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,WWW.AADA.EDU,34.095315,-118.344097,0.1557,NULL
American Baptist Seminary of the West,Berkeley,CA,94704-3029,www.absw.edu,37.865252,-122.256149,NULL,NULL
American Film Institute Conservatory,Los Angeles,CA,90027-1625,www.AFI.com,34.10846,-118.309989,NULL,NULL
American Beauty College,West Covina,CA,91790,www.americanbeautycollege.com,33.884391,-118.125036,NULL,NULL
American Career College-Los Angeles,Los Angeles,CA,90004,americancareercollege.edu/,34.079236,-118.292282,NULL,NULL
American Conservatory Theater,San Francisco,CA,94108-5834,www.act-sf.org,37.787326,-122.404945,1,NULL
American River College,Sacramento,CA,95841-4286,www.arc.losrios.edu/,38.649734,-121.346012,NULL,NULL
Antelope Valley College,Lancaster,CA,93536-5426,www.avc.edu,34.676207,-118.186166,NULL,NULL
Art Center College of Design,Pasadena,CA,91103,www.artcenter.edu,34.170844,-118.186901,0.7951,NULL
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,www.atcla.edu,34.055987,-118.27243,NULL,NULL
Associated Technical College-San Diego,San Diego,CA,92101,www.atcsd.edu,32.715658,-117.158203,NULL,NULL
Azusa Pacific University,Azusa,CA,91702-7000,www.apu.edu,34.130865,-117.88795,0.809,1080
Bakersfield College,Bakersfield,CA,93305-1299,www.bakersfieldcollege.edu/,35.4108,-118.973491,NULL,NULL
Barstow Community College,Barstow,CA,92311,www.barstow.edu,34.871451,-117.02523,NULL,NULL
Bellus Academy-National City,National City,CA,91950,www.bellusacademy.edu,32.676762,-117.090235,NULL,NULL
Bethesda University,Anaheim,CA,92801,www.buc.edu,33.842295,-117.941323,NULL,NULL
Biola University,La Mirada,CA,90639-0001,www.biola.edu,33.904823,-118.017342,0.6985,1115
Brooks Institute,Ventura,CA,93001,www.brooks.edu,34.33851,-119.295231,0.9755,NULL
Brownson Technical School,Anaheim,CA,92805,www.brownson.edu,33.819,-117.906409,NULL,NULL
Bryan University,Los Angeles,CA,90010,bryanuniversity.edu,34.061406,-118.302882,NULL,NULL
Butte College,Oroville,CA,95965-8399,www.butte.edu,39.649116,-121.644691,NULL,NULL
Phillips Graduate University,Chatsworth,CA,91311,pgu.edu,34.24203,-118.567631,NULL,NULL
California Institute of Integral Studies,San Francisco,CA,94103,www.ciis.edu,37.774768,-122.416537,NULL,NULL
Cabrillo College,Aptos,CA,95003,www.cabrillo.edu,36.9891,-121.927926,NULL,NULL
California Baptist University,Riverside,CA,92504-3297,www.calbaptist.edu,33.928569,-117.42587,0.6541,960
California College of the Arts,San Francisco,CA,94107-2247,www.cca.edu,37.76723,-122.399941,0.6854,NULL
University of California-Hastings College of Law,San Francisco,CA,94102-4978,www.uchastings.edu,37.780718,-122.415395,NULL,NULL
California Institute of Technology,Pasadena,CA,91125,www.caltech.edu,34.139275,-118.12574,0.0881,1544
California Lutheran University,Thousand Oaks,CA,91360-2787,www.callutheran.edu/,34.225551,-118.879467,0.6156,1109
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,calpoly.edu,35.29889,-120.65856,0.3129,1259
Alliant International University-San Diego,San Diego,CA,92131,www.alliant.edu,32.897056,-117.094398,0.9155,NULL
California State University-Bakersfield,Bakersfield,CA,93311-1099,www.csub.edu,35.350005,-119.104711,0.6875,NULL
California State University-Stanislaus,Turlock,CA,95382-0299,www.csustan.edu,37.52577,-120.852511,0.7063,NULL
California State University-San Bernardino,San Bernardino,CA,92407-2397,www.csusb.edu,34.182987,-117.322508,0.6459,887
California State Polytechnic University-Pomona,Pomona,CA,91768,www.cpp.edu,34.054273,-117.819019,0.3931,1066
California State University-Chico,Chico,CA,95929-0150,www.csuchico.edu,39.728003,-121.846333,0.6345,1003
California State University-Dominguez Hills,Carson,CA,90747-0005,www.csudh.edu,33.86524,-118.259316,0.5277,NULL
California State University-Fresno,Fresno,CA,93740,www.csufresno.edu,36.814477,-119.748258,0.5219,897
California State University-Fullerton,Fullerton,CA,92831-3599,www.fullerton.edu,33.883627,-117.885349,0.4186,1024
California State University-East Bay,Hayward,CA,94542,www.csueastbay.edu,37.65707,-122.058073,0.7403,NULL
California State University-Long Beach,Long Beach,CA,90840-0115,www.csulb.edu,33.782752,-118.1123,0.3382,1056
California State University-Los Angeles,Los Angeles,CA,90032-8506,www.calstatela.edu,34.066927,-118.168965,0.6813,874
California State University-Northridge,Northridge,CA,91330,www.csun.edu,34.23671,-118.526817,0.456,902
California State University-Sacramento,Sacramento,CA,95819-2694,www.csus.edu,38.55745,-121.42194,0.6725,948
University of California-Berkeley,Berkeley,CA,94720,www.berkeley.edu,37.871969,-122.260423,0.1688,1397
University of California-Davis,Davis,CA,95616-8678,www.ucdavis.edu,38.539895,-121.751958,0.3795,1226
University of California-Irvine,Irvine,CA,92697,www.uci.edu/,33.648434,-117.841248,0.3868,1175
University of California-Los Angeles,Los Angeles,CA,90095-1405,www.ucla.edu/,34.068892,-118.443901,0.1728,1339
University of California-Riverside,Riverside,CA,92521,WWW.UCR.EDU,33.97588,-117.331098,0.556,1119
University of California-San Diego,La Jolla,CA,92093,www.ucsd.edu,32.876598,-117.237793,0.3374,1344
University of California-San Francisco,San Francisco,CA,94143-0244,www.ucsf.edu,37.762736,-122.458049,NULL,NULL
University of California-Santa Barbara,Santa Barbara,CA,93106,www.ucsb.edu,34.416281,-119.846404,0.3264,1248
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,www.ucsc.edu/,36.997258,-122.067993,0.5029,1201
Sofia University,Palo Alto,CA,94303,www.sofia.edu,37.430325,-122.10866,NULL,NULL
California Beauty School,Modesto,CA,95354,www.calbeautycollege.edu,37.645217,-120.99689,NULL,NULL
California Christian College,Fresno,CA,93727,www.calchristiancollege.edu,36.75031,-119.711208,1,NULL
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,94103,www.caculinary.edu,37.765415,-122.402643,NULL,NULL
California Hair Design Academy,La Mesa,CA,91941-5055,chdaschools.com,32.765221,-117.024261,NULL,NULL
California Institute of the Arts,Valencia,CA,91355-2397,www.calarts.edu,34.393337,-118.567303,0.2493,NULL
California State University Maritime Academy,Vallejo,CA,94590,https://www.csum.edu,38.069061,-122.231551,0.6617,NULL
California Western School of Law,San Diego,CA,92101-3046,https://www.cwsl.edu,32.72194,-117.162597,NULL,NULL
Canada College,Redwood City,CA,94061-1099,canadacollege.edu,37.447365,-122.265549,NULL,NULL
College of the Canyons,Santa Clarita,CA,91355-1899,www.canyons.edu,34.403121,-118.569524,NULL,NULL
